Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Alcohol content (product.metafields.custom.alcohol),Appellation/Area (product.metafields.custom.appellation),Display in (product.metafields.custom.display_in),Warehouse Bin (product.metafields.custom.warehouse_bin),Bio (product.metafields.filter.bio),Country (product.metafields.filter.country),Grapes (product.metafields.filter.grapes),Grapes-dominant (product.metafields.filter.grapes-dominant),Type (product.metafields.filter.type),Region (product.metafields.filters.region),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Restricciones de edad (product.metafields.shopify.age-restrictions),Color (product.metafields.shopify.color-pattern),País (product.metafields.shopify.country),Preferencias alimentarias (product.metafields.shopify.dietary-preferences),Tipo de evento (product.metafields.shopify.event-type),Región (product.metafields.shopify.region),Dulzura del vino (product.metafields.shopify.wine-sweetness),Variedad de vino (product.metafields.shopify.wine-variety),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vignobles-mallard-cremant-blanc-de-blancs-brut,VIGNOBLES MALLARD CRÉMANT BLANC DE BLANCS BRUT,"<p><strong>AGING: </strong>6 months in stainless steel tanks.</p>
<p><strong>VIEW: </strong><span>Pale color with a bright rim.</span><br></p>
<p><strong>BOUQUET: </strong>The brut offers a lively bouquet, while the semi-dry rosé spreads on gourmet notes of small red fruits.</p>
<p><strong>MOUTH: </strong>The rosé has a long finish with persistent notes of small red fruits.</p>
<p><strong>FOOD PAIRING:</strong><span style=""font-size: 0.875rem;""> Perfect for an aperitif and pairs well with seafood platters.</span></p>",VIGNOBLES MALLARD,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, blanco, Bordeaux, dulce, espumoso, france, francia, internacional, moscatel, NV, vin de france",true,Size,0.75 L,,,,,,,,965,1000.0,shopify,deny,manual,16.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/Perfectfordinneraperitifsorcelebratorytoasts._18.png?v=1739446995,1,"",false,,,,,,,,,,,,,,12%,Vin de France,All collections,P13,TRUE,France,Sémillon,Moscatel,Sparkling wine,Bordeaux,,,,,,,,,,,,,,,kg,,6.82,active
vignobles-mallard-rose-demi-sec-mallard,VIGNOBLES MALLARD CRÉMANT ROSÉ DEMI-SEC,"<p><strong>AGING: </strong>Can be cellared for up to 3 years.</p>
<p><strong>VIEW: </strong><span>Demi-sec rosé sparkling wine, showing a fine and persistent effervescence produced by the traditional method.</span><br></p>
<p><strong>BOUQUET: </strong>Delicate, fruity aromas, with a clean expression of the base wine and no malolactic fermentation.</p>
<p><strong>MOUTH: </strong>Fresh and well-balanced on the palate, with a gentle sweetness typical of a demi-sec style. Fine bubbles provide a smooth, creamy texture. </p>
<p><strong>FOOD PAIRING:</strong><span style=""font-size: 0.875rem;""> Perfect as an aperitif, with desserts, or enjoyed at any time of the day.</span></p>",VIGNOBLES MALLARD,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, blanco, Bordeaux, CREMANT, dulce, espumoso, france, francia, internacional, moscatel, NV, vin de france",true,Size,0.75 L,,,,,,,,964,1000.0,shopify,deny,manual,15.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/CAVAPENEDES_4.png?v=1767352636,1,"",false,,,,,,,,,,,,,,12%,Vin de France,All collections,P13,TRUE,France,Merlot,Merlot,Sparkling wine,Bordeaux,,,,francia,,,bordo,off-dry,rose,,,,,,kg,,6.83,active
la-forcada-sauvignon-blanc-outlet,LA FORCADA SAUVIGNON BLANC (Outlet),"<p><strong>-LABEL WITH SMALL DEFECT-</strong></p>
<p><strong><br>VIEW</strong>: The wine has a light yellow colour with a greenish hue.</p>
<p><strong>BOUQUET</strong>: Very fresh and strong fruity aromas combined with aromatic notes from the barrel aging (toasted bread, coffee).</p>
<p><strong>MOUTH</strong>: Fresh and fruity taste with a long, pleasant aftertaste.</p>",FORCADA,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",White Wine,"all collections, blanco, españa, La Rioja, nacional, sauvignon blanc, seco, spain, Vendimia seleccionada",true,Vintage,2023,,Size,0.75 L,,,,,,1000.0,shopify,deny,manual,8.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/6236/8852/files/IMG-2887.png?v=1716403354,1,"",false,,,,,,,,,,,,,,"13,5%",Rioja,All collections,K41,,Spain,Sauvignon Blanc,Sauvignon Blanc,White wine,Rioja,,,,,,,,,,,,,,,kg,,0.00,active
exopto-horizonte-de-exopto-outlet,EXOPTO - HORIZONTE DE EXOPTO (Outlet),"<p><strong>-LABEL WITH SMALL DEFECT-</strong></p>
<p><strong><br>AGING: </strong>French oak barrels.<br><strong>VIEW:</strong> Deep ruby color.<br><strong>BOUQUET:</strong> Aromas of red and black fruits (cherries, blackberries) with spicy and smoky notes.<br><strong>MOUTH:</strong> Intense flavors of very clean and pure black fruit, silky tannins. Very mineral and long finish. Very good balance between intensity and finesse.<br><strong>FOOD PAIRING:</strong> Meat dishes - roasted, stewed - typical of Mediterranean cuisine, accompanied by tomato and pepper sauce, or cooked with traditional herbs and spices.</p>",EXOPTO,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Red wine,"all collections, españa, garnacha, garnacha negra, graciano, La Rioja, nacional, rioja, seco, spain, tempranillo, tinto, vino tinto",true,Size,0.75 L,,Vintage,2023,,,,,,1000.0,shopify,deny,manual,11.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/6236/8852/files/Disenosintitulo_42.png?v=1724265636,1,"",false,,,,,,,,,,,,,,"13,5%",D.O.Ca Rioja,All collections,K14,,Spain,Tempranillo / Garnacha / Graciano,Tempranillo,Red wine,Rioja,,,,,,,,,,,,,,,kg,,0.00,active
box-6-cavas-ronis,BOX 6 CAVAS RONIS,"<p><strong>RONIS Brut Nature x 2 bottles</strong></p>
<p><span>Fresh and dry, offering a pure varietal expression. Clean, precise, and vibrant, with a crisp profile that highlights freshness and elegance without any added sweetness.</span></p>
<p> </p>
<p><strong>RONIS Brut Nature Reserva x 2 bottles</strong></p>
<p><span>Layered citrus notes combined with delicate brioche and a laser-bright minerality. Complex, refined, and structured, with depth and precision from extended aging.</span></p>
<p><strong>RONIS Brut Reserva x 2 bottles</strong></p>
<p><span>Silky and elegant, showing pear and lemon depth crowned with a subtle hint of toasted almond. A cava with character, balance, and a long, refined finish.</span></p>
<p> </p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, españa, espumoso, macabeo, nacional, natural, NV, ORGANIC, organico, parellada, Ronis, spain, vegan, vegano, xarello",true,Size,0.75 L,,,,,,,,,1000.0,,continue,manual,85.00,94.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/6236/8852/files/17E1DEAB-BA36-4C73-AE0D-B3654EAAD978.png?v=1766491294,1,"",false,,,,,,,,,,,,,,,D.O. Cava,Pack,,TRUE,Spain,,Xarello,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,blanco; champan,,,,,,kg,,7.95,active
cava-ronis-brut-rose,CAVA RONÏS - BRUT ROSÉ,"<p><strong>AGING: </strong>Following 15 months on the lees and a gentle 8 g/L dosage, this ballet-pink Rosé bursts with vibrant red-fruit aromas and a crisp dry finish.</p>
<p><strong>VIEW</strong>: Soft ballet-pink colour with a continuous stream of tiny bubbles.</p>
<p><strong>BOUQUET</strong>: Perfumed notes of wild strawberry, raspberry, and rose petals, with hints of grapefruit zest.</p>
<p><strong>MOUTH</strong>: Silky yet lively, with a red-fruit core, refreshing acidity, and a whisper of cream, finishing crisp, dry, and mouth-watering.</p>
<p><strong>FOOD PAIRING: </strong>Pairs beautifully with charcuterie, spicy dishes, and berry-based desserts. Excellent with barbecue-glazed meats, wood-fired pizza, spicy tartars, berry tarts, or dark chocolate mousse.<br></p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, españa, espumoso, garnacha, garnacha negra, nacional, natural, NV, ORGANIC, organico, pinot noir, spain, vegan, vegano",true,Size,0.75 L,,,,,,,,956,1000.0,,deny,manual,14.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/CAVAPENEDES_2.png?v=1765203132,1,"",false,,,,,,,,,,,,,,11.5%,D.O. Cava,All collections,,,Spain,Garnacha / Pinot Noir,Garnacha,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,rose,,,,,,kg,,7.50,active
cava-ronis-brut-reserva,RONÏS - BRUT RESERVA,"<p><strong>AGING: </strong>Resting 18 months on the lees in the bottle and disgorged with 8 g/L dosage, this Cava marries vibrant fruit with layers of brioche and toasted-almond richness.</p>
<p><strong>VIEW</strong>: Soft straw-gold hue with a steady ribbon of tiny bubbles.</p>
<p><strong>BOUQUET</strong>: Aromas of ripe white and citrus fruit, floral notes, sweet-bun, honey, and almond nuances.</p>
<p><strong>MOUTH</strong>: Creamy yet lively; juicy pear and preserved lemon glide over subtle pastry undertones, finishing dry, polished, and poised.</p>
<p><strong>FOOD PAIRING: </strong>Pairs beautifully with roasted fish, white meat, grilled vegetables, and creamy pastas. Excellent with grilled salmon, mussels, fettuccine with mushrooms, and nutty desserts or honey-drizzled cheese.<br></p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, españa, espumoso, macabeo, nacional, natural, NV, ORGANIC, organico, parellada, spain, vegan, vegano, xarello",true,Size,0.75 L,,Vintage,2022,,,,,955,1000.0,,continue,manual,16.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/CAVAPENEDES_1.png?v=1765202611,1,"",false,,,,,,,,,,,,,,12%,D.O. Cava,All collections,,TRUE,Spain,Xarel·lo / Macabeo / Parellada,Xarello,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,blanco,,,,,,kg,,7.95,active
cava-ronis-brut-nature-reserva,RONÏS - BRUT NATURE RESERVA,"<p><strong>AGING: </strong>After 24 months ageing on the lees and with no sugar added, this Cava is chiselled, creamy-textured, and complex.</p>
<p><strong>VIEW</strong>: Pale straw-gold with silver flickers and a prismatic stream of bubbles.</p>
<p><strong>BOUQUET</strong>: Fresh aromas of ripe apple, pear, peach, and apricot, joined by honey, nutty notes, and buttery brioche from cellar ageing.</p>
<p><strong>MOUTH</strong>: Incisively fresh yet gently creamy, with bright fruit, saline minerality, and a long, dry finish.</p>
<p><strong>FOOD PAIRING: </strong>Perfect with game meats, mushroom dishes, and aged cheeses. Pairs well with duck breast, truffle risotto, and Manchego with honey, enhancing each flavour and resetting the palate.<br></p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, chardonnay, españa, espumoso, macabeo, nacional, natural, NV, ORGANIC, organico, parellada, spain, vegan, vegano, xarello",true,Size,0.75 L,,Vintage,2022,,,,,954,1000.0,,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/CAVAPENEDES_ba81b6ff-0627-4c92-9533-f97c18790bbf.png?v=1765202363,1,"",false,,,,,,,,,,,,,,12%,D.O. Cava,All collections,,TRUE,Spain,Xarel·lo / Macabeo / Parellada / Chardonnay,Xarello,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,blanco,,,,,,kg,,8.95,active
cava-ronis-brut,RONÏS - BRUT,"<p><strong>AGING: </strong>Aged 12 months on the lees and finished with 8 g/L of dosage, giving balance between refreshing acidity and richer flavour.</p>
<p><strong>VIEW</strong>: Pale lemon colour with a steady stream of fine bubbles.</p>
<p><strong>BOUQUET</strong>: Aromas of green apple, ripe pear, and lemon peel, with delicate floral notes and gentle creaminess.</p>
<p><strong>MOUTH</strong>: Bright, balanced, and silky, with rounded texture from the dosage and a lightly toasty, juicy finish.</p>
<p><strong>FOOD PAIRING: </strong>A versatile choice, perfect with white meats, vegetarian dishes, mild cheeses, seafood pasta, and desserts. It enhances herb-roasted chicken, asparagus risotto, and fruit tarts, making each pairing light and vibrant.<br></p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, españa, espumoso, macabeo, nacional, natural, NV, ORGANIC, organico, parellada, spain, vegan, vegano, xarello",true,Size,0.75 L,,,,,,,,953,1000.0,shopify,deny,manual,13.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/italytoscan_11.png?v=1765199995,1,"",false,,,,,,,,,,,,,,11.5%,D.O. Cava,All collections,,TRUE,Spain,Xarel·lo / Macabeo / Parellada,Xarello,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,blanco,,,,,,kg,,6.95,active
cava-ronis-brut-nature,RONÏS - BRUT NATURE,"<p><strong>AGING: </strong>Aged for a minimum of 12 months on the lees in the bottle, disgorged as Brut Nature with no sugar added. The zero dosage allows the saline minerality to sparkle before gliding into a softly creamy finish, developed from one full year on the lees.</p>
<p><strong>VIEW</strong>: Pale lemon colour with an endless ribbon of bubbles.</p>
<p><strong>BOUQUET</strong>: A vivid nose of green apple, bright pear, lime zest, and white blossoms leads the way.</p>
<p><strong>MOUTH</strong>: On the palate, it remains brisk and ultra-clean; the zero dosage allows the saline minerality to sparkle before gliding into a softly creamy finish.</p>
<p><strong>FOOD PAIRING: </strong>Perfect with seafood, ceviche, sashimi, light salads, seasonal vegetables, and soft cheeses. Each sip refreshes the palate and invites the next bite.<br></p>",CAVAS RONÏS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Sparkling Wine,"all collections, ALT PENEDES, bio, Catalonia, catalunya, Cataluña, cava, españa, espumoso, macabeo, nacional, natural, NV, ORGANIC, organico, parellada, spain, vegan, vegano, xarello",true,Size,0.75 L,,,,,,,,952,1000.0,,deny,manual,13.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0757/6236/8852/files/italytoscan_10.png?v=1765199670,1,"",false,,,,,,,,,,,,,,11.5%,D.O. Cava,All collections,,TRUE,Spain,Xarel·lo / Macabeo / Parellada,Xarello,Sparkling wine,Catalunya,,,,spain,vegan; vegetarian; organico,,,off-dry; seco,blanco,,,,,,kg,,6.95,active
